t,phase,agl,aglT,V,vs,pitch,bank,e,xt,s,thr,de,dr,flap,offtrack,above,rem,onG,x,z,hdotC,Vc,wK,thC
0.00,ROLL,0.00,1.00,1.99,0.00,9.5,-0.0,-0.2,0.0,396,0.00,0.000,0.022,0.00,,,,3,1,0,,,,
0.10,ROLL,-0.00,1.00,1.99,-0.00,9.5,-0.0,-0.2,0.0,396,0.00,0.000,0.027,0.00,,,,3,1,0,,,,
0.20,ROLL,-0.00,1.00,1.99,-0.00,9.5,-0.0,-0.2,0.0,396,0.00,0.000,0.019,0.00,,,,3,1,0,,,,
0.30,ROLL,-0.00,1.00,1.99,0.00,9.5,-0.0,-0.2,0.0,396,0.00,0.000,0.015,0.00,,,,3,1,0,,,,
0.40,ROLL,-0.00,1.00,1.99,0.00,9.5,-0.0,-0.2,0.0,396,0.00,0.000,0.013,0.00,,,,3,1,0,,,,
0.50,ROLL,-0.00,1.00,1.99,0.01,9.5,0.0,-0.2,0.0,396,1.00,0.000,0.013,0.00,,,,3,1,0,,,,
0.60,ROLL,0.00,1.01,2.17,0.03,9.5,-0.0,-0.2,0.0,396,1.00,0.000,0.018,0.00,,,,3,1,0,,,,
0.70,ROLL,0.01,1.01,2.34,0.00,9.5,-0.0,-0.3,0.0,396,1.00,0.000,0.018,0.00,,,,3,1,0,,,,
0.80,ROLL,0.00,1.01,2.53,-0.02,9.5,-0.1,-0.3,0.0,396,1.00,0.000,0.017,0.00,,,,3,1,0,,,,
0.90,ROLL,0.00,1.01,2.71,-0.00,9.5,-0.1,-0.3,0.0,396,1.00,0.000,0.015,0.00,,,,3,1,0,,,,
1.00,ROLL,0.00,1.01,2.90,0.02,9.5,-0.1,-0.2,0.0,396,1.00,0.000,0.011,0.00,,,,3,1,0,,,,
1.10,ROLL,0.00,1.01,3.10,0.01,9.5,-0.1,-0.2,0.0,396,1.00,0.000,0.013,0.00,,,,3,1,0,,,,
1.20,ROLL,0.00,1.01,3.30,-0.01,9.5,-0.1,-0.2,0.0,395,1.00,0.000,0.014,0.00,,,,3,0,0,,,,
1.30,ROLL,0.00,1.01,3.50,-0.00,9.5,-0.1,-0.2,-0.0,395,1.00,0.000,0.014,0.00,,,,3,0,-0,,,,
1.40,ROLL,0.00,1.01,3.70,0.01,9.5,-0.1,-0.2,-0.0,395,1.00,0.000,0.014,0.00,,,,3,0,-0,,,,
1.50,ROLL,0.00,1.01,3.90,0.01,9.5,-0.0,-0.2,-0.0,395,1.00,0.000,0.013,0.00,,,,3,-0,-0,,,,
1.60,ROLL,0.01,1.01,4.11,-0.00,9.5,-0.0,-0.2,-0.0,395,1.00,0.000,0.012,0.00,,,,3,-0,-0,,,,
1.70,ROLL,0.00,1.01,4.31,-0.00,9.5,0.0,-0.2,-0.0,394,1.00,0.000,0.012,0.00,,,,3,-1,-0,,,,
1.80,ROLL,0.00,1.01,4.52,0.00,9.5,0.0,-0.2,-0.0,394,1.00,0.000,0.011,0.00,,,,3,-1,-0,,,,
1.90,ROLL,0.01,1.01,4.73,0.01,9.5,0.0,-0.2,-0.0,394,1.00,0.000,0.011,0.00,,,,3,-1,-0,,,,
2.00,ROLL,0.01,1.01,4.94,0.00,9.5,0.0,-0.2,-0.0,393,1.00,0.000,0.010,0.00,,,,3,-2,-0,,,,
2.10,ROLL,0.01,1.01,5.15,-0.00,9.5,0.0,-0.2,-0.0,393,1.00,0.000,0.010,0.00,,,,3,-2,-0,,,,
2.20,ROLL,0.01,1.01,5.35,0.00,9.5,0.0,-0.2,-0.0,393,1.00,0.000,0.009,0.00,,,,3,-2,-0,,,,
2.30,ROLL,0.01,1.01,5.56,0.00,9.5,0.0,-0.2,-0.0,392,1.00,0.000,0.009,0.00,,,,3,-3,-0,,,,
2.40,ROLL,0.01,1.01,5.77,0.00,9.5,0.0,-0.2,-0.0,392,1.00,0.000,0.008,0.00,,,,3,-3,-0,,,,
2.50,ROLL,0.01,1.01,5.99,0.00,9.5,0.0,-0.2,-0.0,391,1.00,0.000,0.008,0.00,,,,3,-4,-0,,,,
2.60,ROLL,0.01,1.01,6.20,0.00,9.5,0.1,-0.2,-0.0,391,1.00,0.000,0.007,0.00,,,,3,-4,-0,,,,
2.70,ROLL,0.01,1.01,6.41,0.00,9.5,0.1,-0.2,-0.0,391,1.00,0.000,0.007,0.00,,,,3,-4,-0,,,,
2.80,ROLL,0.01,1.01,6.62,0.00,9.5,0.1,-0.1,-0.0,390,1.00,0.000,0.007,0.00,,,,3,-5,-0,,,,
2.90,ROLL,0.01,1.01,6.83,0.00,9.5,0.1,-0.1,-0.0,390,1.00,0.000,0.006,0.00,,,,3,-5,-0,,,,
3.00,ROLL,0.01,1.01,7.04,0.00,9.5,0.2,-0.1,-0.0,389,1.00,0.000,0.006,0.00,,,,3,-6,-0,,,,
3.10,ROLL,0.01,1.01,7.25,0.00,9.5,0.2,-0.1,-0.0,388,1.00,0.000,0.006,0.00,,,,3,-7,-0,,,,
3.20,ROLL,0.01,1.01,7.46,0.00,9.5,0.2,-0.1,-0.0,388,1.00,0.000,0.005,0.00,,,,3,-7,-0,,,,
3.30,ROLL,0.01,1.01,7.67,0.00,9.5,0.2,-0.1,-0.0,387,1.00,0.000,0.005,0.00,,,,3,-8,-0,,,,
3.40,ROLL,0.01,1.01,7.88,0.00,9.5,0.2,-0.1,-0.0,387,1.00,0.000,0.005,0.00,,,,3,-8,-0,,,,
3.50,ROLL,0.01,1.01,8.09,0.00,9.6,0.3,-0.1,-0.0,386,1.00,0.000,0.005,0.00,,,,3,-9,-0,,,,
3.60,ROLL,0.01,1.01,8.30,0.00,9.6,0.3,-0.1,-0.0,385,1.00,0.000,0.004,0.00,,,,3,-10,-0,,,,
3.70,ROLL,0.01,1.01,8.51,0.00,9.6,0.3,-0.1,-0.0,385,1.00,0.000,0.004,0.00,,,,3,-10,-0,,,,
3.80,ROLL,0.01,1.01,8.71,0.00,9.6,0.3,-0.1,-0.0,384,1.00,0.000,0.004,0.00,,,,3,-11,-0,,,,
3.90,ROLL,0.01,1.01,8.92,0.00,9.6,0.4,-0.1,-0.0,383,1.00,0.000,0.004,0.00,,,,3,-12,-0,,,,
4.00,ROLL,0.01,1.01,9.13,0.00,9.6,0.4,-0.1,-0.0,382,1.00,0.000,0.004,0.00,,,,3,-13,-0,,,,
4.10,ROLL,0.01,1.02,9.34,0.00,9.6,0.4,-0.1,-0.0,382,1.00,0.000,0.004,0.00,,,,3,-13,-0,,,,
4.20,ROLL,0.01,1.02,9.55,0.00,9.6,0.4,-0.1,-0.0,381,1.00,0.000,0.003,0.00,,,,3,-14,-0,,,,
4.30,ROLL,0.01,1.02,9.75,0.00,9.6,0.5,-0.1,-0.0,380,1.00,0.000,0.003,0.00,,,,3,-15,-0,,,,
4.40,ROLL,0.01,1.02,9.96,0.00,9.6,0.5,-0.1,-0.0,379,1.00,0.000,0.003,0.00,,,,3,-16,-0,,,,
4.50,ROLL,0.01,1.02,10.17,0.00,9.6,0.5,-0.1,-0.0,378,1.00,0.000,0.003,0.00,,,,3,-17,-0,,,,
4.60,ROLL,0.01,1.02,10.37,0.00,9.6,0.6,-0.1,-0.0,378,1.00,0.000,0.003,0.00,,,,3,-17,-0,,,,
4.70,ROLL,0.01,1.02,10.58,0.00,9.6,0.6,-0.1,-0.0,377,1.00,0.000,0.003,0.00,,,,3,-18,-0,,,,
4.80,ROLL,0.01,1.02,10.78,0.00,9.6,0.6,-0.1,-0.0,376,1.00,0.000,0.003,0.00,,,,3,-19,-0,,,,
4.90,ROLL,0.01,1.02,10.99,0.00,9.6,0.6,-0.1,-0.0,375,1.00,0.000,0.003,0.00,,,,3,-20,-0,,,,
5.00,ROLL,0.01,1.02,11.19,0.00,9.6,0.7,-0.1,-0.0,374,1.00,0.000,0.003,0.00,,,,3,-21,-0,,,,
5.10,ROLL,0.01,1.02,11.39,0.00,9.6,0.7,-0.1,-0.0,373,1.00,0.000,0.003,0.00,,,,3,-22,-0,,,,
5.20,ROLL,0.02,1.02,11.60,0.00,9.6,0.7,-0.1,-0.0,372,1.00,0.000,0.003,0.00,,,,3,-23,-0,,,,
5.30,ROLL,0.02,1.02,11.80,0.00,9.6,0.7,-0.1,-0.0,371,1.00,0.000,0.003,0.00,,,,3,-24,-0,,,,
5.40,ROLL,0.02,1.02,12.00,0.00,9.6,0.7,-0.1,-0.0,370,1.00,0.000,0.003,0.00,,,,3,-25,-0,,,,
5.50,ROLL,0.02,1.02,12.21,0.00,9.6,0.7,-0.1,-0.0,369,1.00,0.000,0.003,0.00,,,,3,-26,-0,,,,
5.60,ROLL,0.02,1.02,12.41,0.00,9.6,0.7,-0.1,-0.0,368,1.00,0.000,0.003,0.00,,,,3,-27,-0,,,,
5.70,ROLL,0.02,1.02,12.61,0.00,9.6,0.8,-0.1,-0.0,367,1.00,0.000,0.003,0.00,,,,3,-28,-0,,,,
5.80,ROLL,0.02,1.02,12.81,0.00,9.6,0.8,-0.1,-0.0,365,1.00,0.000,0.003,0.00,,,,3,-30,-0,,,,
5.90,ROLL,0.02,1.02,13.01,0.00,9.6,0.8,-0.1,-0.0,364,1.00,0.000,0.003,0.00,,,,3,-31,-0,,,,
6.00,ROLL,0.02,1.02,13.21,0.00,9.6,0.8,-0.1,-0.0,363,1.00,0.000,0.003,0.00,,,,3,-32,-0,,,,
6.10,ROLL,0.02,1.02,13.41,0.00,9.6,0.8,-0.1,-0.0,362,1.00,0.000,0.004,0.00,,,,3,-33,-0,,,,
6.20,ROLL,0.02,1.02,13.61,0.00,9.6,0.8,-0.1,-0.0,361,1.00,0.000,0.006,0.00,,,,3,-34,-0,,,,
6.30,ROLL,0.02,1.02,13.80,0.00,9.6,0.8,-0.1,-0.0,359,1.00,0.000,0.009,0.00,,,,3,-36,-0,,,,
6.40,ROLL,0.02,1.02,14.00,0.00,9.6,0.8,-0.1,-0.0,358,1.00,0.000,0.013,0.00,,,,3,-37,-0,,,,
6.50,ROLL,0.02,1.02,14.20,0.00,9.6,0.8,-0.2,-0.0,357,1.00,0.000,0.019,0.00,,,,3,-38,-0,,,,
6.60,ROLL,0.02,1.03,14.40,0.00,9.6,0.9,-0.3,-0.0,356,1.00,0.000,0.026,0.00,,,,3,-39,-0,,,,
6.70,ROLL,0.02,1.03,14.59,0.00,9.6,0.9,-0.3,-0.0,354,1.00,0.000,0.034,0.00,,,,3,-41,-0,,,,
6.80,ROLL,0.02,1.03,14.79,0.00,9.6,0.9,-0.4,-0.0,353,1.00,0.000,0.042,0.00,,,,3,-42,-0,,,,
6.90,ROLL,0.02,1.03,14.99,0.00,9.6,0.9,-0.5,-0.1,352,1.00,0.000,0.050,0.00,,,,3,-43,-0,,,,
7.00,ROLL,0.02,1.03,15.18,0.00,9.6,0.9,-0.6,-0.1,350,1.00,0.000,0.057,0.00,,,,3,-45,-0,,,,
7.10,ROLL,0.02,1.03,15.38,0.00,9.6,0.9,-0.7,-0.1,349,1.00,0.000,0.064,0.00,,,,3,-46,-0,,,,
7.20,ROLL,0.02,1.03,15.57,0.00,9.7,0.9,-0.9,-0.1,348,1.00,0.000,0.070,0.00,,,,3,-47,-0,,,,
7.30,ROLL,0.02,1.03,15.77,0.00,9.7,1.0,-1.0,-0.1,346,1.00,0.000,0.075,0.00,,,,3,-49,-0,,,,
7.40,ROLL,0.03,1.03,15.96,0.01,9.7,1.0,-1.0,-0.1,345,1.00,0.000,0.079,0.00,,,,3,-50,-0,,,,
7.50,ROLL,0.03,1.03,16.15,0.01,9.6,1.0,-1.1,-0.1,343,1.00,0.000,0.082,0.00,,,,3,-52,-0,,,,
7.60,ROLL,0.03,1.03,16.34,0.01,9.6,1.0,-1.2,-0.2,342,1.00,0.000,0.083,0.00,,,,3,-53,-0,,,,
7.70,ROLL,0.03,1.03,16.53,0.01,9.6,1.0,-1.2,-0.2,340,1.00,0.000,0.082,0.00,,,,3,-55,-0,,,,
7.80,ROLL,0.03,1.03,16.72,0.01,9.4,1.0,-1.3,-0.2,339,1.00,0.000,0.080,0.00,,,,3,-56,-0,,,,
7.90,ROLL,0.03,1.03,16.91,0.01,9.3,1.0,-1.3,-0.2,337,1.00,0.000,0.076,0.00,,,,2,-58,-0,,,,
8.00,ROLL,0.03,1.03,17.10,0.01,9.1,1.0,-1.3,-0.3,336,1.00,0.000,0.072,0.00,,,,2,-59,-0,,,,
8.10,ROLL,0.03,1.04,17.29,0.01,9.0,1.1,-1.3,-0.3,334,1.00,0.000,0.067,0.00,,,,2,-61,-0,,,,
8.20,ROLL,0.03,1.04,17.47,0.01,8.8,1.1,-1.2,-0.3,333,1.00,0.000,0.063,0.00,,,,2,-62,-0,,,,
8.30,ROLL,0.03,1.04,17.66,0.01,8.6,1.1,-1.2,-0.3,331,1.00,0.000,0.060,0.00,,,,2,-64,-0,,,,
8.40,ROLL,0.04,1.04,17.85,0.01,8.4,1.1,-1.2,-0.3,329,1.00,0.000,0.059,0.00,,,,2,-66,-0,,,,
8.50,ROLL,0.04,1.04,18.04,0.01,8.3,1.1,-1.2,-0.3,328,1.00,0.000,0.059,0.00,,,,2,-67,-0,,,,
8.60,ROLL,0.04,1.04,18.23,0.01,8.1,1.1,-1.2,-0.3,326,1.00,0.000,0.061,0.00,,,,2,-69,-0,,,,
8.70,ROLL,0.04,1.04,18.42,0.01,8.0,1.1,-1.2,-0.4,324,1.00,0.000,0.063,0.00,,,,2,-71,-0,,,,
8.80,ROLL,0.04,1.04,18.61,0.01,7.8,1.1,-1.3,-0.4,323,1.00,0.000,0.066,0.00,,,,2,-72,-0,,,,
8.90,ROLL,0.04,1.04,18.80,0.01,7.7,1.1,-1.3,-0.4,321,1.00,0.000,0.069,0.00,,,,2,-74,-0,,,,
9.00,ROLL,0.04,1.05,18.99,0.01,7.5,1.1,-1.4,-0.4,319,1.00,0.000,0.071,0.00,,,,2,-76,-0,,,,
9.10,ROLL,0.04,1.05,19.18,0.01,7.4,1.1,-1.4,-0.4,317,1.00,0.000,0.073,0.00,,,,2,-78,-0,,,,
9.20,ROLL,0.04,1.05,19.37,0.01,7.2,1.1,-1.5,-0.4,316,1.00,0.000,0.096,0.00,,,,2,-79,-0,,,,
9.30,ROLL,0.04,1.05,19.56,0.01,7.0,1.1,-1.5,-0.5,314,1.00,0.000,0.102,0.00,,,,2,-81,-0,,,,
9.40,ROLL,0.05,1.05,19.75,0.01,6.9,1.2,-1.5,-0.5,312,1.00,0.000,0.093,0.00,,,,2,-83,-0,,,,
9.50,ROLL,0.05,1.05,19.93,0.01,6.7,1.2,-1.4,-0.5,310,1.00,0.000,0.062,0.00,,,,2,-85,-0,,,,
9.60,ROLL,0.05,1.05,20.12,0.01,6.6,1.2,-1.4,-0.5,308,1.00,0.000,0.052,0.00,,,,2,-87,-0,,,,
9.70,ROLL,0.05,1.05,20.31,0.01,6.5,1.2,-1.3,-0.5,306,1.00,0.000,0.042,0.00,,,,2,-89,-1,,,,
9.80,ROLL,0.05,1.05,20.49,0.01,6.3,1.2,-1.3,-0.5,305,1.00,0.000,0.052,0.00,,,,2,-90,-1,,,,
9.90,ROLL,0.05,1.05,20.68,0.01,6.2,1.2,-1.3,-0.5,303,1.00,0.000,0.061,0.00,,,,2,-92,-1,,,,
10.00,ROLL,0.05,1.05,20.87,0.01,6.1,1.2,-1.3,-0.5,301,1.00,0.000,0.077,0.00,,,,2,-94,-1,,,,
10.10,ROLL,0.05,1.05,21.06,0.01,6.0,1.2,-1.3,-0.5,299,1.00,0.000,0.082,0.00,,,,2,-96,-1,,,,
10.20,ROLL,0.05,1.06,21.24,0.01,5.9,1.2,-1.4,-0.5,297,1.00,0.000,0.084,0.00,,,,2,-98,-1,,,,
10.30,ROLL,0.05,1.06,21.43,0.01,5.8,1.2,-1.4,-0.5,295,1.00,0.000,0.077,0.00,,,,2,-100,-1,,,,
10.40,ROLL,0.05,1.06,21.61,0.01,5.7,1.2,-1.4,-0.5,293,1.00,0.000,0.072,0.00,,,,2,-102,-1,,,,
10.50,ROLL,0.05,1.06,21.80,0.01,5.6,1.2,-1.4,-0.6,291,1.00,0.000,0.066,0.00,,,,2,-104,-1,,,,
10.60,ROLL,0.05,1.06,21.98,0.01,5.5,1.2,-1.4,-0.6,289,1.00,0.000,0.066,0.00,,,,2,-106,-1,,,,
10.70,ROLL,0.05,1.06,22.17,0.01,5.4,1.2,-1.4,-0.6,287,1.00,0.000,0.067,0.00,,,,2,-108,-1,,,,
10.80,ROLL,0.06,1.06,22.35,0.01,5.4,1.2,-1.4,-0.6,285,1.00,0.000,0.072,0.00,,,,2,-110,-1,,,,
10.90,ROLL,0.06,1.06,22.53,0.00,5.3,1.2,-1.4,-0.6,283,1.00,0.006,0.076,0.00,,,,2,-112,-1,,,,
11.00,ROLL,0.06,1.06,22.72,0.00,5.2,1.2,-1.4,-0.6,280,1.00,0.010,0.078,0.00,,,,2,-115,-1,,,,
11.10,ROLL,0.06,1.06,22.90,0.00,5.2,1.2,-1.5,-0.6,278,1.00,0.012,0.077,0.00,,,,2,-117,-1,,,,
11.20,ROLL,0.06,1.06,23.08,0.00,5.2,1.2,-1.5,-0.6,276,1.00,0.013,0.075,0.00,,,,2,-119,-1,,,,
11.30,ROLL,0.06,1.06,23.26,0.00,5.2,1.2,-1.5,-0.6,274,1.00,0.016,0.073,0.00,,,,2,-121,-1,,,,
11.40,ROLL,0.06,1.06,23.44,0.00,5.3,1.2,-1.5,-0.6,272,1.00,0.019,0.071,0.00,,,,2,-123,-1,,,,
11.50,ROLL,0.06,1.06,23.62,0.00,5.3,1.2,-1.5,-0.6,270,1.00,0.023,0.070,0.00,,,,2,-125,-1,,,,
11.60,ROLL,0.06,1.06,23.80,0.00,5.4,1.2,-1.5,-0.6,267,1.00,0.028,0.070,0.00,,,,2,-128,-1,,,,
11.70,ROLL,0.06,1.06,23.97,0.00,5.4,1.2,-1.5,-0.6,265,1.00,0.032,0.071,0.00,,,,2,-130,-1,,,,
11.80,ROLL,0.06,1.06,24.15,0.00,5.5,1.2,-1.5,-0.6,263,1.00,0.036,0.071,0.00,,,,2,-132,-1,,,,
11.90,ROLL,0.06,1.06,24.33,0.00,5.5,1.2,-1.5,-0.6,261,1.00,0.040,0.072,0.00,,,,2,-134,-1,,,,
12.00,ROLL,0.06,1.06,24.50,0.00,5.6,1.2,-1.5,-0.6,258,1.00,0.044,0.072,0.00,,,,2,-137,-1,,,,
12.10,ROLL,0.06,1.06,24.68,0.00,5.6,1.2,-1.5,-0.6,256,1.00,0.048,0.071,0.00,,,,2,-139,-1,,,,
12.20,ROLL,0.06,1.07,24.85,0.00,5.7,1.2,-1.5,-0.6,254,1.00,0.053,0.070,0.00,,,,2,-141,-1,,,,
12.30,ROLL,0.06,1.07,25.02,0.00,5.8,1.2,-1.5,-0.6,251,1.00,0.057,0.069,0.00,,,,2,-144,-1,,,,
12.40,ROLL,0.06,1.07,25.19,0.00,5.8,1.2,-1.5,-0.6,249,1.00,0.061,0.068,0.00,,,,2,-146,-1,,,,
12.50,ROLL,0.06,1.07,25.36,0.00,5.9,1.2,-1.5,-0.6,247,1.00,0.066,0.068,0.00,,,,2,-148,-1,,,,
12.60,ROLL,0.06,1.07,25.54,0.00,5.9,1.2,-1.5,-0.7,244,1.00,0.070,0.068,0.00,,,,2,-151,-1,,,,
12.70,ROLL,0.06,1.07,25.70,0.01,6.0,1.2,-1.5,-0.7,242,1.00,0.074,0.069,0.00,,,,2,-153,-1,,,,
12.80,ROLL,0.06,1.07,25.87,0.01,6.1,1.2,-1.5,-0.7,239,1.00,0.077,0.069,0.00,,,,2,-156,-1,,,,
12.90,ROLL,0.07,1.07,26.04,0.02,6.1,1.3,-1.5,-0.7,237,1.00,0.081,0.069,0.00,,,,2,-158,-1,,,,
13.00,ROLL,0.07,1.07,26.21,0.02,6.2,1.3,-1.5,-0.7,234,1.00,0.084,0.070,0.00,,,,2,-161,-1,,,,
13.10,ROLL,0.07,1.07,26.37,0.02,6.2,1.3,-1.5,-0.7,232,1.00,0.088,0.071,0.00,,,,2,-163,-1,,,,
13.20,ROLL,0.07,1.08,26.54,0.03,6.3,1.4,-1.5,-0.7,229,1.00,0.092,0.071,0.00,,,,2,-166,-1,,,,
13.30,ROLL,0.07,1.08,26.70,0.03,6.4,1.4,-1.5,-0.7,227,1.00,0.096,0.069,0.00,,,,2,-168,-1,,,,
13.40,ROLL,0.08,1.08,26.87,0.02,6.4,1.5,-1.5,-0.7,224,1.00,0.100,0.068,0.00,,,,2,-171,-1,,,,
13.50,ROLL,0.08,1.08,27.03,0.02,6.5,1.6,-1.5,-0.7,222,1.00,0.103,0.066,0.00,,,,2,-173,-1,,,,
13.60,ROLL,0.08,1.09,27.19,0.02,6.5,1.6,-1.5,-0.7,219,1.00,0.107,0.064,0.00,,,,2,-176,-1,,,,
13.70,ROLL,0.08,1.09,27.35,0.02,6.5,1.7,-1.4,-0.7,217,1.00,0.111,0.064,0.00,,,,1,-178,-1,,,,
13.80,ROLL,0.09,1.09,27.51,0.02,6.6,1.7,-1.4,-0.7,214,1.00,0.114,0.064,0.00,,,,1,-181,-1,,,,
13.90,ROLL,0.09,1.09,27.67,0.02,6.6,1.8,-1.4,-0.7,211,1.00,0.117,0.065,0.00,,,,1,-184,-1,,,,
14.00,ROLL,0.09,1.09,27.83,0.02,6.7,1.9,-1.4,-0.7,209,1.00,0.121,0.067,0.00,,,,1,-186,-1,,,,
14.10,ROLL,0.09,1.10,27.99,0.02,6.7,1.9,-1.4,-0.7,206,1.00,0.124,0.068,0.00,,,,1,-189,-1,,,,
14.20,ROLL,0.09,1.10,28.14,0.02,6.8,2.0,-1.4,-0.7,204,1.00,0.127,0.069,0.00,,,,1,-191,-1,,,,
14.30,ROLL,0.10,1.10,28.30,0.02,6.8,2.0,-1.5,-0.7,201,1.00,0.130,0.072,0.00,,,,1,-194,-1,,,,
14.40,ROLL,0.10,1.10,28.45,0.02,6.9,2.1,-1.5,-0.7,198,1.00,0.134,0.074,0.00,,,,1,-197,-1,,,,
14.50,ROLL,0.10,1.10,28.61,0.04,6.9,2.1,-1.5,-0.7,195,1.00,0.136,0.079,0.00,,,,1,-200,-1,,,,
14.60,ROLL,0.10,1.11,28.76,0.07,7.0,2.1,-1.5,-0.7,193,1.00,0.136,0.081,0.00,,,,1,-202,-1,,,,
14.70,ROLL,0.11,1.12,28.91,0.11,7.0,2.1,-1.5,-0.7,190,1.00,0.137,0.084,0.00,,,,1,-205,-1,,,,
14.80,LIFTOFF,0.12,1.13,29.06,0.15,7.1,2.1,-1.6,-0.7,187,1.00,0.136,0.084,0.00,,,,0,-208,-1,,,,
14.90,LIFTOFF,0.14,1.15,29.21,0.21,7.2,2.1,-0.1,-0.8,184,1.00,0.134,-0.037,0.00,,,,0,-211,-1,,,,
15.00,LIFTOFF,0.17,1.17,29.35,0.27,7.3,1.7,-0.3,-0.8,182,1.00,0.134,-0.018,0.00,,,,0,-213,-1,,,,
15.10,LIFTOFF,0.19,1.20,29.49,0.34,7.4,1.7,-0.6,-0.8,179,1.00,0.134,-0.002,0.00,,,,0,-216,-1,,,,
15.20,LIFTOFF,0.23,1.23,29.63,0.41,7.5,1.4,-1.1,-0.8,176,1.00,0.134,0.005,0.00,,,,0,-219,-1,,,,
15.30,LIFTOFF,0.27,1.28,29.77,0.48,7.5,1.2,-1.6,-0.8,173,1.00,0.131,0.010,0.00,,,,0,-222,-1,,,,
15.40,LIFTOFF,0.32,1.33,29.91,0.56,7.7,0.9,-2.1,-0.9,170,1.00,0.125,0.014,0.00,,,,0,-225,-1,,,,
15.50,LIFTOFF,0.38,1.39,30.04,0.64,7.8,0.7,-2.6,-0.9,168,1.00,0.122,0.016,0.00,,,,0,-227,-1,,,,
15.60,LIFTOFF,0.45,1.45,30.17,0.73,7.9,0.6,-3.1,-0.9,165,1.00,0.124,0.019,0.00,,,,0,-230,-1,,,,
15.70,LIFTOFF,0.53,1.53,30.30,0.81,8.0,0.5,-3.6,-0.9,162,1.00,0.124,0.021,0.00,,,,0,-233,-1,,,,
15.80,LIFTOFF,0.61,1.61,30.42,0.89,8.1,0.3,-3.9,-1.0,159,1.00,0.120,0.023,0.00,,,,0,-236,-1,,,,
15.90,LIFTOFF,0.70,1.71,30.54,0.97,8.2,0.2,-4.2,-1.0,156,1.00,0.115,0.024,0.00,,,,0,-239,-1,,,,
16.00,LIFTOFF,0.80,1.81,30.66,1.06,8.4,0.1,-4.4,-1.0,153,1.00,0.112,0.024,0.00,,,,0,-242,-1,,,,
16.10,LIFTOFF,0.91,1.91,30.78,1.15,8.5,-0.0,-4.4,-1.1,150,1.00,0.108,0.024,0.00,,,,0,-245,-1,,,,
16.20,LIFTOFF,1.03,2.03,30.89,1.24,8.7,-0.1,-4.5,-1.1,147,1.00,0.105,0.023,0.00,,,,0,-248,-1,,,,
16.30,LIFTOFF,1.16,2.16,30.99,1.34,8.8,-0.2,-4.4,-1.2,144,1.00,0.102,0.021,0.00,,,,0,-251,-1,,,,
16.40,LIFTOFF,1.29,2.30,31.10,1.44,9.0,-0.4,-4.3,-1.2,142,1.00,0.099,0.020,0.00,,,,0,-253,-1,,,,
16.50,LIFTOFF,1.44,2.45,31.20,1.55,9.2,-0.5,-4.2,-1.3,139,1.00,0.096,0.018,0.00,,,,0,-256,-1,,,,
16.60,LIFTOFF,1.60,2.60,31.29,1.65,9.3,-0.6,-4.0,-1.3,136,1.00,0.093,0.016,0.00,,,,0,-259,-1,,,,
16.70,LIFTOFF,1.77,2.77,31.39,1.76,9.5,-0.7,-3.9,-1.3,133,1.00,0.088,0.014,0.00,,,,0,-262,-1,,,,
16.80,LIFTOFF,1.95,2.95,31.47,1.88,9.7,-0.7,-3.7,-1.4,130,1.00,0.086,0.013,0.00,,,,0,-265,-1,,,,
16.90,LIFTOFF,2.14,3.14,31.56,1.99,9.9,-0.8,-3.5,-1.4,127,1.00,0.084,0.011,0.00,,,,0,-268,-1,,,,
17.00,LIFTOFF,2.34,3.35,31.64,2.11,10.0,-0.9,-3.4,-1.5,124,1.00,0.081,0.010,0.00,,,,0,-271,-1,,,,
17.10,LIFTOFF,2.56,3.56,31.72,2.22,10.2,-0.9,-3.3,-1.5,121,1.00,0.078,0.009,0.00,,,,0,-274,-2,,,,
17.20,LIFTOFF,2.78,3.79,31.79,2.34,10.4,-0.9,-3.2,-1.5,118,1.00,0.075,0.009,0.00,,,,0,-277,-2,,,,
17.30,LIFTOFF,3.02,4.02,31.86,2.46,10.5,-0.9,-3.1,-1.6,115,1.00,0.072,0.009,0.00,,,,0,-280,-2,,,,
17.40,LIFTOFF,3.27,4.27,31.92,2.57,10.7,-0.9,-3.1,-1.6,112,1.00,0.070,0.009,0.00,,,,0,-283,-2,,,,
17.50,LIFTOFF,3.53,4.54,31.98,2.69,10.9,-0.9,-3.1,-1.6,109,1.00,0.068,0.009,0.00,,,,0,-286,-2,,,,
17.60,LIFTOFF,3.80,4.81,32.04,2.80,11.0,-0.9,-3.1,-1.7,106,1.00,0.066,0.009,0.00,,,,0,-289,-2,,,,
17.70,LIFTOFF,4.09,5.09,32.09,2.92,11.2,-0.9,-3.2,-1.7,103,1.00,0.064,0.010,0.00,,,,0,-292,-2,,,,
17.80,LIFTOFF,4.38,5.39,32.14,3.03,11.3,-0.9,-3.2,-1.7,100,1.00,0.062,0.010,0.00,,,,0,-295,-2,,,,
17.90,LIFTOFF,4.69,5.69,32.19,3.13,11.5,-0.9,-3.3,-1.7,97,1.00,0.060,0.011,0.00,,,,0,-298,-2,,,,
18.00,LIFTOFF,5.01,6.01,32.23,3.24,11.6,-0.8,-3.3,-1.8,94,1.00,0.058,0.012,0.00,,,,0,-301,-2,,,,
